attr_name,type,occurrences
additional_training,text,1
adresa,text,1
akcijaspasuvanje_lookacija,text,2
altitude_change,numeric,1
artistickoime,text,1
attribute,text,1
base_location,text,1
baza,text,22
baza_smestuvanje,text,4
bday,date,1
bezbednosni_proverki_id,integer,1
bezbednosni_proverki_id_1,integer,1
bijografija,text,1
bio,text,4
biografija,text,43
biografija_1,text,1
biograija,text,1
birth_date,date,1
br_aplikacija,integer,1
br_aplkacija,integer,1
br_citati,integer,16
br_lica,integer,1
br_licenca,text,6
br_med_licenca,text,1
br_med_licensa,integer,1
br_na_citati,integer,1
br_na_trudovi,integer,1
br_obuvki,integer,2
br_porti,integer,5
br_recenzii,integer,2
br_trudovi,integer,6
br_trudovi_za_recenziranje,integer,1
brand,text,3
brcitati,integer,1
brend,text,44
brlicenca,text,1
broj,integer,16
broj_citaci,integer,1
broj_citati,integer,3
broj_licenca,integer,7
broj_med_licenca,text,2
broj_na_aplikakacija,integer,1
broj_na_citati,integer,3
broj_na_licenca,text,1
broj_na_lift,integer,1
broj_na_porti,integer,1
broj_na_proti,integer,1
broj_porta,integer,1
broj_porti,integer,6
broj_trudovi,integer,6
brojaplikacija,integer,1
brojcitati,integer,2
brojid,integer,1
brojmed_licenca,text,1
brojporti,integer,1
brojtrudovi,integer,2
bronzen,integer,11
brporti,integer,1
brrecenziranja,integer,1
brtrudovi,integer,1
brzinska_id,integer,1
brzinska_trka_id,integer,4
brzinska_trka_tip,text,1
brzinska_trka_visinska_razlika,numeric,5
brziska_ralika,numeric,1
budget,numeric,3
budget_size,numeric,1
budjet,numeric,1
budzet,numeric,26
budzhet,numeric,2
c_ime,text,1
capacity,numeric,3
celo_ime,text,2
celosno_ime,text,26
celosno_ime_1,text,2
celosnoime,text,2
cena,numeric,18
checkpoints,integer,11
chizmi,integer,1
chlen_id,integer,2
cifra,integer,1
citati,integer,3
citation_format,text,1
cizmi,integer,5
cizmi_id,integer,1
clen_clen_id,integer,2
clen_id,integer,6
clen_id_broj,integer,2
clen_id_clen,integer,2
clen_idclen,integer,2
clen_med_clen_id,integer,1
clen_patrola_clen_id,integer,2
coaches,text,1
code,integer,5
company_ime,text,2
conference_name,text,4
conference_name_1,text,2
contact_information,text,1
cv,text,1
d,date,2
d_n_r,date,1
darivanje_ime,text,2
daruvanje_datum_p,date,2
daruvanje_id,integer,1
daruvanje_ime,text,9
daruvanje_ime_1,text,1
daruvanje_ime_2,text,1
daska,integer,4
daska_bord,integer,1
daska_id,integer,1
dat_izvlekuvanje,date,1
dat_kraj,date,4
dat_naznacen,date,1
dat_poc,date,2
dat_pocetok,date,1
dat_raganje,date,1
dat_start,date,1
dat_sudenje,date,1
data_do,date,1
data_i,date,1
data_izvl,date,1
data_na_rag,date,1
data_od,date,1
data_radjanje,date,1
data_rag,date,3
data_raganje,date,1
data_ragjanje,date,2
data_sudenje,date,1
datanaragjanje,date,2
dataragjanje,date,1
date,date,8
date_1,date,1
date_begin,date,1
date_end,date,2
date_of_birth,date,4
date_of_manufacturing,date,1
date_start,date,1
datm,date,1
datu_ragjanje,date,1
datum,date,152
datum_1,date,3
datum_bday,date,1
datum_do,date,26
datum_end,date,1
datum_i,date,1
datum_i_vreme_na_registracija,date,1
datum_i_vreme_nbsp_na_reg,date,1
datum_ivlekuvanje,date,1
datum_iz,date,1
datum_izl,date,3
datum_izl_1,date,2
datum_izv,date,2
datum_izvl,date,3
datum_izvlek,date,1
datum_izvlekuvanje,date,12
datum_k,date,5
datum_koga,date,1
datum_kraj,date,48
datum_kraj_1,date,2
datum_na_izvl,date,1
datum_na_izvlekuvanje,date,4
datum_na_kraj,date,1
datum_na_odrzuvanje,date,2
datum_na_oznaka,date,1
datum_na_pocetok,date,1
datum_na_postaven_natprevar,date,1
datum_na_r,date,3
datum_na_ragane,date,1
datum_na_raganje,date,11
datum_na_ragj,date,1
datum_na_ragjane,date,1
datum_na_ragjange,date,1
datum_na_ragjanje,date,26
datum_na_rajganje,date,3
datum_na_reg,date,1
datum_na_registracija,date,2
datum_na_registriranje,date,1
datum_na_sudenje,date,2
datum_naglasen,date,1
datum_naragjanje,date,1
datum_naznacen,date,5
datum_naznacuvanje,date,4
datum_nbsp,date,1
datum_nbsp_na_ragjanje,date,1
datum_od,date,26
datum_odr,text,2
datum_odrz,date,2
datum_odrzhuvanje,text,1
datum_odrzuvanje,date,11
datum_p,date,5
datum_poc,date,3
datum_pocetok,date,36
datum_pochetok,date,2
datum_poetok,date,2
datum_poetok_1,date,1
datum_r,date,15
datum_r_1,date,1
datum_rag,date,20
datum_ragaje,date,1
datum_raganje,date,20
datum_ragj,date,3
datum_ragjanje,date,40
datum_ragnjanje,date,1
datum_reg,date,4
datum_regis,date,1
datum_registr,date,1
datum_registracija,date,4
datum_registriranje,date,5
datum_rod,date,1
datum_rodenden,date,1
datum_smena,date,1
datum_start,date,3
datum_start_1,date,1
datum_sudenje,date,2
datum_trening,date,1
datum_vreme_registracija,date,1
datum_za_naznachuvanje,date,1
datum_za_sudija,date,1
datumdo,date,3
datumizlvekuvanje,date,1
datumizvlekuvanje,date,1
datumkraj,date,9
datumna_izvlekuavanje,date,1
datumod,date,3
datumodr,text,1
datumpoc,date,2
datumpocetok,date,7
datumr,date,2
datumraganje,date,4
datumragjanje,date,5
datumreg,date,3
datumsmena,date,1
datumsudenje,date,1
datup_k,date,3
datup_k_1,date,2
datup_p,date,3
datup_p_1,date,2
daum_na_izvelkuvanje,date,1
dautm_pocetok,date,1
debelin,numeric,1
debelina,numeric,4
debelina_na_sneg,numeric,3
debelina_sneg,numeric,9
del_odgrupa,text,3
del_odgrupa_1,text,1
deposit,numeric,2
depozit,numeric,27
description,text,2
description_1,text,1
difficulty_level,text,3
discid,integer,1
disciplina,text,10
disciplina_disciplina_id,integer,4
disciplina_dispiclina_id,integer,3
disciplina_id,integer,7
disciplina_ime,text,68
disciplina_ime_d,text,2
disciplina_ime_disc,text,2
disciplina_ime_disciplina,text,2
disciplina_kvalifikuvan,text,1
disciplinas,text,1
discipline_id,integer,4
disciplini,text,1
disciplini_ime,text,3
dispiclina_id,integer,1
do,text,5
dob,date,1
dodelena_karta,integer,1
dolz_km,numeric,1
dolzhina,numeric,13
dolzhina_km,numeric,1
dolzina,numeric,63
dolzina_km,numeric,3
dolzina_pateka,numeric,1
dolzina_vo_km,numeric,1
dolzinakm,numeric,1
dolzna,numeric,1
dozlina,numeric,2
dpozit,numeric,1
drzava,text,65
drzava_1,text,5
drzava_2,text,1
drzava_3,text,1
drzava_na_poteklo,text,2
drzava_nbsp,text,1
drzava_poteklo,text,5
drzava_poteknuvanje,text,1
drzavapoteklo,text,1
drzhava,text,15
drzhava_na_poteklo,text,1
drzhava_napoteklo,text,1
drzhva,text,2
duration,numeric,1
e_adress,text,1
e_mail,text,7
e_poshta,text,3
e_posta,text,23
e_пошта,text,1
edinstven_br,integer,2
edinstven_broj,integer,6
edinstven_broj_na_aplikacija,integer,1
edinstvenbroj,integer,1
edisntven_broj,integer,1
eid,integer,1
email,text,21
embg,text,11
employee_full_name,text,2
end,text,1
end_date,date,4
enidstven_broj,integer,1
eposta,text,4
evidencija,integer,1
experience_yrs,integer,1
f_name,text,3
festival_attribute,text,2
festival_id,integer,2
festival_id_1,integer,1
festival_ime,text,43
festival_ime_1,text,18
festival_name,text,1
festival_name_1,text,1
festival_opis,text,2
festival_opis_1,text,1
festival_sifra,integer,1
field_name,text,3
field_name_1,text,1
finish_time,text,1
first_name,text,3
fis_fis_id,integer,2
fis_id,integer,4
fis_trka_i_broj,integer,2
fis_trka_id,integer,9
fis_trka_tip,text,1
fond,numeric,4
format,text,19
format_citiranje,text,5
format_na_citiranje,text,1
formatcitiranje,text,2
formatcrtanje,text,1
fotmat,text,1
from,text,1
full_name,text,9
full_name_1,text,1
fullname,text,1
gate,text,1
generalna_lista_poeni,numeric,1
generirano_id,integer,1
giveaway_entry_id,integer,2
giveaway_givwaway_id,integer,1
giveaway_ime,text,22
giveaway_ime_1,text,1
giveaway_imeg,text,1
giveaway_име,text,2
givwaway_id,integer,1
glaven,text,2
glaven_pokrovitel,text,1
god,integer,1
god_iskustvo,integer,1
god_na_osnovanje,integer,3
god_na_proiz,integer,1
god_na_proizvodstvo,integer,1
god_osnovanje,integer,7
god_p,integer,1
god_pr,integer,1
god_proiz,integer,4
god_proizvod,integer,1
god_proizvodstvo,integer,15
god_proizvotstvo,integer,1
god_sozdavanje,integer,1
godiina_na_osnovanje,integer,1
godina,integer,20
godina_na_nbsp_proizvodstvo,integer,1
godina_na_osnovanje,integer,10
godina_na_proivodstvo,integer,1
godina_na_proizvidstvo,integer,1
godina_na_proizvodstvo,integer,3
godina_na_proizvotstvo,integer,1
godina_naosnovanje,integer,1
godina_naproizvodstvo,integer,1
godina_osn,integer,2
godina_osnovana,integer,1
godina_osnovanje,integer,12
godina_p,integer,3
godina_pro,integer,1
godina_proivodtsvo,integer,1
godina_proiz,integer,4
godina_proizv,integer,2
godina_proizveden,integer,1
godina_proizvoden,integer,1
godina_proizvodstvo,integer,14
godina_proizvotstvo,integer,1
godinanaosnovanje,integer,2
godinaosnovanje,integer,2
godinaproiz,integer,1
godinaproizv,integer,1
godinaproizvodstvo,integer,1
godinaproizvotsvo,integer,1
godiniiskustvo,integer,2
godisenmaraton_maraton_id,integer,2
godproizvotstvo,integer,1
goelmina,integer,1
goidna_na_prozivodstvo,integer,1
gol_budzet,numeric,1
gol_obuvki,integer,1
goleina_na_buzet,numeric,1
golemina,integer,48
golemina_br,integer,3
golemina_budzet,numeric,9
golemina_cizmi,integer,2
golemina_na_budget,numeric,1
golemina_na_budzet,numeric,1
golemina_na_cizmi,integer,1
golemina_na_nbsp_obuvki,integer,1
golemina_na_obuvki,integer,9
golemina_o,integer,3
golemina_obukvi,integer,1
golemina_obuvki,integer,16
goleminabudzet,numeric,1
goleminaobuvki,integer,3
goleminobuvki,integer,1
golmeina,integer,1
gondola_id,integer,1
gondola_id_1,integer,1
grad,text,49
grad_1,text,3
grad_poteknuvanje,text,1
grupa_godiina_na_osnovanje,integer,1
grupa_id,integer,3
grupa_id_1,integer,2
grupa_ime,text,6
grupa_ime_1,text,5
grupa_ime_2,text,1
grupa_ime_3,text,1
grupa_ime_nbsp,text,1
grupa_ime_nbsp_1,text,1
grupa_ime_tim,text,1
grupa_ime_tim_1,text,1
grupa_sifra,integer,2
grupa_sifra_1,integer,2
grupa_sifra_2,integer,1
grupa_sifra_3,integer,1
grupa_tip,text,1
grupa_tip_1,text,1
grupi_id,integer,1
grupi_ime,text,2
grupi_ime_1,text,1
gw_datum_izvl,date,1
gw_datum_k,date,1
gw_datum_p,date,1
held_conference_end_date,date,1
held_conference_name,text,1
held_conference_start_date,date,1
held_ski_competition_name,text,3
i_broj,integer,1
i_name,text,1
i_prezime,text,1
id,integer,250
id_1,integer,2
id_2,integer,2
id_3,integer,2
id_4,integer,1
id_5,integer,1
id_bidejki_nema_primaren_kluc,integer,1
id_broj,integer,10
id_clen,integer,1
id_daruvanje,integer,1
id_gondoli,integer,1
id_ime,integer,1
id_individua,integer,1
id_individualec,integer,1
id_izvekuvanje,integer,1
id_karta,integer,1
id_konferencija,integer,2
id_kopanija,integer,1
id_licenca,text,1
id_lift,integer,1
id_maraton,integer,1
id_naucnik,integer,1
id_number,integer,1
id_oblast,integer,1
id_oprema,integer,1
id_pobednik,integer,1
id_proverka,integer,1
id_recenzent,integer,1
id_recezent,integer,1
id_ruta,integer,1
id_s,integer,1
id_skiac,integer,1
id_skijac,integer,6
id_skijacka_patrola,integer,1
id_sky_lift,integer,1
id_sponzor,integer,1
id_tim,integer,2
id_ucesnik,integer,2
id_univerzitet,integer,1
id_zicarnici,integer,1
id_zona,integer,1
id_бр,integer,1
id_одржување,integer,1
id_скијач,integer,1
id_спонзор,integer,1
id_судија,integer,1
id_учесник,integer,1
idclen,integer,1
identifikacionen_broj,integer,1
identifikaciski_br,integer,2
identifikaciski_broj,integer,5
idime,integer,1
idinspekcija,integer,1
idlift,integer,1
idpateka,integer,1
idproverka,integer,1
idskijac,integer,1
iduniverzitet,integer,1
idvraboten,integer,1
idzona,integer,1
igodproizvodstvo,integer,1
iident_br,integer,1
ima,text,1
ima_1,text,1
ime,text,963
ime_1,text,11
ime_2,text,6
ime_3,text,5
ime_4,text,3
ime_5,text,2
ime_6,text,2
ime_d,text,1
ime_disc,text,1
ime_disciplina,text,1
ime_disiplina,text,1
ime_i_prezime,text,4
ime_individualci,integer,1
ime_izveduvac,text,1
ime_k,text,1
ime_karta,text,3
ime_konferencija,text,1
ime_maraton,text,1
ime_n,text,1
ime_na_karta,text,2
ime_na_tim,text,4
ime_na_timot,text,2
ime_nbsp,text,2
ime_nbsp_nbsp,text,2
ime_oblast,text,1
ime_p,text,1
ime_pobednik,text,1
ime_pokrovitel,text,3
ime_prezime,text,5
ime_ruta,text,1
ime_scena,text,2
